品項,目前庫存,安全庫存,日均用量,供應商
湯包,389,29,146,綠源
布丁,90,16,57,益昌
泡芙,481,258,95,益昌
湯包,497,244,41,豐收行
鮮奶茶,428,266,314,益昌
即食雞胸,332,92,58,台農
沙拉醬,460,94,484,大全農產
果醬,217,457,202,海洋直送
布丁,73,234,481,大全農產
杯裝優格,491,177,269,綠源
湯包,304,82,40,長榮食材
原味吐司,38,144,321,鮮供應
能量棒,61,69,366,豐收行
布丁,72,1,304,鮮供應
氣泡飲,46,124,379,大全農產
原味吐司,264,440,169,海洋直送
果醬,324,230,240,長榮食材
堅果包,72,77,121,豐收行
蛋捲,274,390,353,益昌
原味吐司,188,301,92,海洋直送
冷凍水餃,307,249,282,綠源
沙拉醬,162,39,174,益昌
原味吐司,231,85,319,綠源
布丁,88,458,430,長榮食材
冷凍水餃,197,359,39,
能量棒,169,129,32,海洋直送
布丁,115,382,389,益昌
,209,410,288,台農
冷凍水餃,456,145,152,長榮食材
沙拉醬,301,380,141,豐收行
蛋捲,352,403,303,
蛋捲,492,127,436,台農
原味吐司,202,204,416,益昌
能量棒,387,323,454,大全農產
杯裝優格,245,329,384,鮮供應
鮮奶茶,307,443,41,鮮供應
沙拉醬,404,193,328,益昌
布丁,326,295,79,豐收行
布丁,457,263,318,海洋直送
即食雞胸,326,462,47,大全農產
氣泡飲,112,479,313,長榮食材
即食雞胸,451,432,402,豐收行
杯裝優格,66,215,97,益昌
果醬,212,210,354,台農
杯裝優格,328,1,385,綠源
蛋捲,150,200,462,長榮食材
,400,194,9,豐收行
即食雞胸,249,426,244,台農
氣泡飲,147,384,181,益昌
冷凍水餃,178,57,104,海洋直送
蛋捲,37,83,281,鮮供應
堅果包,35,153,334,豐收行
沙拉醬,252,142,94,長榮食材
堅果包,212,87,156,綠源
即食雞胸,290,252,197,綠源
湯包,287,,356,長榮食材
湯包,303,170,454,海洋直送
氣泡飲,343,144,438,鮮供應
鮮奶茶,115,43,73,大全農產
堅果包,45,398,431,豐收行
原味吐司,292,270,427,海洋直送
蛋捲,372,37,387,益昌
即食雞胸,218,157,217,大全農產
杯裝優格,3,114,489,益昌
蛋捲,354,248,439,豐收行
原味吐司,399,252,188,益昌
沙拉醬,139,331,291,台農
鮮奶茶,441,437,402,長榮食材
即食雞胸,446,495,217,大全農產
沙拉醬,193,149,178,鮮供應
氣泡飲,247,217,290,長榮食材
能量棒,457,135,77,台農
即食雞胸,28,307,303,鮮供應
即食雞胸,445,299,175,大全農產
蛋捲,314,92,64,鮮供應
能量棒,148,292,223,大全農產
杯裝優格,112,323,374,鮮供應
沙拉醬,437,359,41,綠源
布丁,354,497,207,台農
即食雞胸,70,294,106,台農
能量棒,414,20,150,大全農產
能量棒,439,483,336,長榮食材
杯裝優格,449,493,266,益昌
湯包,487,126,448,海洋直送
氣泡飲,448,458,1,海洋直送
鮮奶茶,486,271,232,益昌
氣泡飲,106,326,146,海洋直送
鮮奶茶,422,418,437,長榮食材
冷凍水餃,496,,342,台農
布丁,460,234,286,大全農產
蛋捲,253,394,,台農
果醬,298,330,79,海洋直送
蛋捲,357,358,305,長榮食材
巧克力餅乾,152,284,456,海洋直送
果醬,485,381,473,益昌
能量棒,370,321,223,長榮食材
沙拉醬,187,121,464,鮮供應
巧克力餅乾,324,347,309,綠源
湯包,454,206,265,豐收行
冷凍水餃,446,79,499,長榮食材
果醬,334,332,452,海洋直送
氣泡飲,177,329,389,鮮供應
泡芙,142,116,217,台農
,500,137,86,海洋直送
蛋捲,330,17,189,台農
即食雞胸,78,170,54,長榮食材
堅果包,145,47,272,鮮供應
即食雞胸,305,401,332,大全農產
能量棒,369,317,159,
沙拉醬,177,202,88,豐收行
杯裝優格,273,114,220,長榮食材
沙拉醬,424,394,474,益昌
蛋捲,222,85,295,海洋直送
蛋捲,52,411,381,台農
蛋捲,106,383,251,大全農產
果醬,137,5,72,長榮食材
巧克力餅乾,106,329,131,益昌
蛋捲,47,8,171,海洋直送
布丁,179,292,314,鮮供應
布丁,93,193,166,大全農產
果醬,103,140,287,長榮食材
冷凍水餃,153,204,335,豐收行
即食雞胸,427,324,28,長榮食材
巧克力餅乾,299,174,465,豐收行
原味吐司,177,440,185,鮮供應
沙拉醬,103,376,144,海洋直送
原味吐司,238,470,222,豐收行
布丁,414,184,291,長榮食材
冷凍水餃,45,233,485,長榮食材
杯裝優格,244,445,257,長榮食材
杯裝優格,242,349,63,大全農產
能量棒,267,,452,鮮供應
沙拉醬,458,85,109,鮮供應
杯裝優格,20,411,68,鮮供應
氣泡飲,353,339,432,益昌
杯裝優格,414,441,24,鮮供應
蛋捲,345,107,77,海洋直送
湯包,237,,73,海洋直送
湯包,110,273,136,綠源
即食雞胸,215,31,368,長榮食材
沙拉醬,404,193,328,益昌
